LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
HUN,HHDI,NET,AGRWTH,A,2005,4.395799291,
HUN,HHDI,NET,AGRWTH,A,2006,1.771084066,
HUN,HHDI,NET,AGRWTH,A,2007,-4.115324179,
HUN,HHDI,NET,AGRWTH,A,2008,-1.428608546,
HUN,HHDI,NET,AGRWTH,A,2009,-3.559826512,
HUN,HHDI,NET,AGRWTH,A,2010,-0.900627702,
HUN,HHDI,NET,AGRWTH,A,2011,3.35280363,
HUN,HHDI,NET,AGRWTH,A,2012,-3.29203245,
HUN,HHDI,NET,AGRWTH,A,2013,1.67510098,
HUN,HHDI,NET,AGRWTH,A,2014,2.644599569,
HUN,HHDI,NET,AGRWTH,A,2015,3.485213694,
HUN,HHDI,NET,AGRWTH,A,2016,3.775813431,
HUN,HHDI,NET,AGRWTH,A,2017,3.919908268,
HUN,HHDI,NET,AGRWTH,A,2018,6.188754809,
HUN,HHDI,NET,AGRWTH,A,2019,2.682923931,
IRL,HHDI,NET,AGRWTH,A,1996,5.800495294,
IRL,HHDI,NET,AGRWTH,A,1997,6.188356823,
IRL,HHDI,NET,AGRWTH,A,1998,8.184859416,
IRL,HHDI,NET,AGRWTH,A,1999,5.533987888,
IRL,HHDI,NET,AGRWTH,A,2000,6.885422602,
IRL,HHDI,NET,AGRWTH,A,2001,10.4527969,
IRL,HHDI,NET,AGRWTH,A,2002,3.31690067,
IRL,HHDI,NET,AGRWTH,A,2003,3.30315459,
IRL,HHDI,NET,AGRWTH,A,2004,4.574707356,
IRL,HHDI,NET,AGRWTH,A,2005,7.561468394,
IRL,HHDI,NET,AGRWTH,A,2006,4.19813049,
IRL,HHDI,NET,AGRWTH,A,2007,6.091468183,
IRL,HHDI,NET,AGRWTH,A,2008,5.605965843,
IRL,HHDI,NET,AGRWTH,A,2009,-0.294746028,
IRL,HHDI,NET,AGRWTH,A,2010,-1.641573201,
IRL,HHDI,NET,AGRWTH,A,2011,-6.567756991,
IRL,HHDI,NET,AGRWTH,A,2012,1.350767915,
IRL,HHDI,NET,AGRWTH,A,2013,-1.288372779,
IRL,HHDI,NET,AGRWTH,A,2014,1.230635607,
IRL,HHDI,NET,AGRWTH,A,2015,3.622337751,
IRL,HHDI,NET,AGRWTH,A,2016,4.413176786,
IRL,HHDI,NET,AGRWTH,A,2017,5.644592644,
IRL,HHDI,NET,AGRWTH,A,2018,3.10917714,
IRL,HHDI,NET,AGRWTH,A,2019,4.973398012,
ITA,HHDI,NET,AGRWTH,A,1996,1.246030804,
ITA,HHDI,NET,AGRWTH,A,1997,0.23270445,
ITA,HHDI,NET,AGRWTH,A,1998,-0.9928486,
ITA,HHDI,NET,AGRWTH,A,1999,1.241186607,
ITA,HHDI,NET,AGRWTH,A,2000,1.35949332,
ITA,HHDI,NET,AGRWTH,A,2001,2.694499668,
ITA,HHDI,NET,AGRWTH,A,2002,1.014124673,
ITA,HHDI,NET,AGRWTH,A,2003,0.438914414,
ITA,HHDI,NET,AGRWTH,A,2004,1.309627081,
ITA,HHDI,NET,AGRWTH,A,2005,0.645733975,
ITA,HHDI,NET,AGRWTH,A,2006,0.891926089,
ITA,HHDI,NET,AGRWTH,A,2007,1.265144921,
ITA,HHDI,NET,AGRWTH,A,2008,-1.417107907,
ITA,HHDI,NET,AGRWTH,A,2009,-1.752526846,
ITA,HHDI,NET,AGRWTH,A,2010,-1.389114378,
ITA,HHDI,NET,AGRWTH,A,2011,-0.648046676,
ITA,HHDI,NET,AGRWTH,A,2012,-4.999167624,
ITA,HHDI,NET,AGRWTH,A,2013,-0.592739636,
ITA,HHDI,NET,AGRWTH,A,2014,0.507459001,
ITA,HHDI,NET,AGRWTH,A,2015,0.991612476,
ITA,HHDI,NET,AGRWTH,A,2016,1.097228357,
ITA,HHDI,NET,AGRWTH,A,2017,0.969528233,
ITA,HHDI,NET,AGRWTH,A,2018,0.835351607,
ITA,HHDI,NET,AGRWTH,A,2019,0.424128441,
JPN,HHDI,NET,AGRWTH,A,1995,2.149848279,
JPN,HHDI,NET,AGRWTH,A,1996,0.611306796,
JPN,HHDI,NET,AGRWTH,A,1997,1.078142063,
JPN,HHDI,NET,AGRWTH,A,1998,0.667011933,
JPN,HHDI,NET,AGRWTH,A,1999,0.121633237,
JPN,HHDI,NET,AGRWTH,A,2000,0.436417202,
JPN,HHDI,NET,AGRWTH,A,2001,-1.191658821,
JPN,HHDI,NET,AGRWTH,A,2002,1.160901834,
JPN,HHDI,NET,AGRWTH,A,2003,0.015971581,
JPN,HHDI,NET,AGRWTH,A,2004,1.438372736,
JPN,HHDI,NET,AGRWTH,A,2005,0.933018781,
JPN,HHDI,NET,AGRWTH,A,2006,0.236869964,
JPN,HHDI,NET,AGRWTH,A,2007,1.232087958,
JPN,HHDI,NET,AGRWTH,A,2008,-0.747216804,
JPN,HHDI,NET,AGRWTH,A,2009,1.425005987,
JPN,HHDI,NET,AGRWTH,A,2010,2.106997871,
JPN,HHDI,NET,AGRWTH,A,2011,0.434565013,
JPN,HHDI,NET,AGRWTH,A,2012,1.181834592,
JPN,HHDI,NET,AGRWTH,A,2013,0.265273545,
JPN,HHDI,NET,AGRWTH,A,2014,-1.13177534,
JPN,HHDI,NET,AGRWTH,A,2015,1.43619828,
JPN,HHDI,NET,AGRWTH,A,2016,1.596895473,
JPN,HHDI,NET,AGRWTH,A,2017,0.76082572,
KOR,HHDI,NET,AGRWTH,A,1976,14.07926504,
KOR,HHDI,NET,AGRWTH,A,1977,9.659942472,
KOR,HHDI,NET,AGRWTH,A,1978,11.63209679,
KOR,HHDI,NET,AGRWTH,A,1979,5.874671865,
KOR,HHDI,NET,AGRWTH,A,1980,-8.448158753,
KOR,HHDI,NET,AGRWTH,A,1981,6.03889795,
KOR,HHDI,NET,AGRWTH,A,1982,8.311089555,
KOR,HHDI,NET,AGRWTH,A,1983,10.56241757,
KOR,HHDI,NET,AGRWTH,A,1984,10.91067008,
KOR,HHDI,NET,AGRWTH,A,1985,7.094361535,
KOR,HHDI,NET,AGRWTH,A,1986,14.58825924,
KOR,HHDI,NET,AGRWTH,A,1987,12.43398703,
KOR,HHDI,NET,AGRWTH,A,1988,11.7902644,
KOR,HHDI,NET,AGRWTH,A,1989,7.888857821,
KOR,HHDI,NET,AGRWTH,A,1990,9.189978867,
KOR,HHDI,NET,AGRWTH,A,1991,11.79493039,
KOR,HHDI,NET,AGRWTH,A,1992,5.329985088,
KOR,HHDI,NET,AGRWTH,A,1993,5.299951935,
KOR,HHDI,NET,AGRWTH,A,1994,6.689712887,
KOR,HHDI,NET,AGRWTH,A,1995,5.444250424,
KOR,HHDI,NET,AGRWTH,A,1996,6.077501626,
KOR,HHDI,NET,AGRWTH,A,1997,1.744101749,
KOR,HHDI,NET,AGRWTH,A,1998,-2.611124704,
KOR,HHDI,NET,AGRWTH,A,1999,2.407781421,
KOR,HHDI,NET,AGRWTH,A,2000,0.791673526,
KOR,HHDI,NET,AGRWTH,A,2001,2.790018851,
KOR,HHDI,NET,AGRWTH,A,2002,4.563779686,
KOR,HHDI,NET,AGRWTH,A,2003,2.265848589,
KOR,HHDI,NET,AGRWTH,A,2004,4.689429161,
KOR,HHDI,NET,AGRWTH,A,2005,2.320798244,
KOR,HHDI,NET,AGRWTH,A,2006,3.774819571,
KOR,HHDI,NET,AGRWTH,A,2007,4.712786197,
KOR,HHDI,NET,AGRWTH,A,2008,2.175467009,
KOR,HHDI,NET,AGRWTH,A,2009,1.640529453,
KOR,HHDI,NET,AGRWTH,A,2010,4.192659918,
KOR,HHDI,NET,AGRWTH,A,2011,2.256896121,
KOR,HHDI,NET,AGRWTH,A,2012,2.483774112,
KOR,HHDI,NET,AGRWTH,A,2013,4.053958032,
KOR,HHDI,NET,AGRWTH,A,2014,3.559237106,
KOR,HHDI,NET,AGRWTH,A,2015,5.708392533,
KOR,HHDI,NET,AGRWTH,A,2016,1.717186232,
KOR,HHDI,NET,AGRWTH,A,2017,1.816822754,
KOR,HHDI,NET,AGRWTH,A,2018,3.386587743,
LUX,HHDI,NET,AGRWTH,A,1996,1.442645108,
LUX,HHDI,NET,AGRWTH,A,1997,3.015099646,
LUX,HHDI,NET,AGRWTH,A,1998,2.910855456,
LUX,HHDI,NET,AGRWTH,A,1999,4.600725732,
